Player1,Gender,Result1,FNL1,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,BPC.1,BPW.1,TPW.1,ST1.1,ST2.1,ST3.1
Richard Gasquet,1,1,3,63,45,37,16,7,7,5,16,106,6,6,6
Stephane Robert,1,1,3,61,44,39,19,3,2,4,13,99,6,6,6
Jan-Lennard Struff,1,0,2,55,61,45,32,11,13,5,13,149,6,3,6
Aljaz Bedene,1,0,1,52,41,48,19,13,8,2,9,97,5,6,3
Feliciano Lopez,1,1,3,58,54,42,30,21,3,5,16,148,6,6,6
Kenny De Schepper,1,0,1,59,68,41,37,20,11,1,1,133,7,2,6
Andrey Kuznetsov,1,0,2,53,59,47,44,8,8,10,18,183,6,3,7
Pablo Cuevas,1,0,1,51,39,49,24,17,6,0,1,82,3,7,3
Ernests Gulbis,1,0,2,58,68,42,31,15,8,5,22,159,6,3,6
Mikhail Kukushkin,1,1,3,51,35,49,27,4,5,9,11,117,6,7,7
Roberto Bautista Agut,1,1,3,75,44,25,12,1,1,6,10,87,6,6,6
Nick Kyrgios,1,0,0,69,44,31,9,8,3,1,3,75,5,3,2
Tommy Robredo,1,1,3,54,49,46,30,9,3,9,16,138,6,6,6
Robin Haase,1,0,1,58,65,42,34,19,4,3,15,149,6,6,5
Albert Ramos,1,0,2,55,76,45,42,9,9,4,15,165,3,6,6
Daniel Evans,1,1,3,48,35,52,25,8,4,6,9,102,6,6,6
Fernando Verdasco,1,0,2,59,58,41,23,5,14,6,17,144,3,5,6
Rhyne Williams,1,0,2,55,56,45,26,11,9,6,12,132,3,6,6
Ryan Harrison,1,0,0,62,41,38,10,11,2,0,2,69,4,2,2
Novak Djokovic,1,1,3,68,36,32,14,10,1,7,14,91,6,6,6
Benjamin Becker,1,1,3,52,38,48,27,8,5,8,17,125,6,3,6
Lukasz Kubot,1,0,0,38,28,62,27,5,14,4,8,86,5,5,2
Joao Sousa,1,1,3,58,61,42,27,5,2,8,11,145,3,6,6
Tommy Haas,1,1,3,59,38,41,15,14,5,6,8,89,6,6,6
Yen-Hsun Lu,1,1,3,67,49,33,19,4,4,3,9,116,6,7,6
Donald Young,1,1,3,74,39,26,10,3,7,8,13,86,6,6,6
Florian Mayer,1,1,3,65,34,35,15,5,1,5,8,77,6,6,3
Tobias Kamke,1,1,3,53,55,47,39,10,7,4,15,157,6,6,7
Denis Istomin,1,1,3,64,50,36,23,13,2,7,11,112,6,6,4
Julien Benneteau,1,1,3,61,49,39,25,7,6,6,11,125,6,5,6
Sergiy Stakhovsky,1,0,2,53,62,47,33,7,9,3,14,156,4,6,2
Jiri Vesely,1,0,1,55,50,45,30,10,8,2,5,112,2,2,7
Paolo Lorenzi,1,0,0,48,27,52,11,2,6,2,4,62,1,4,1
Pablo Andujar,1,1,3,60,44,40,19,5,3,5,9,105,6,6,6
Thomas Fabbiano,1,0,0,66,46,34,17,0,7,1,5,87,3,6,3
Jerzy Janowicz,1,0,0,58,40,42,17,3,11,2,10,92,4,4,2
Jack Sock,1,1,2,51,36,49,29,6,8,3,8,100,7,3,5
Roger Federer,1,1,3,60,41,40,21,12,2,5,11,103,6,6,7
Santiago Giraldo,1,0,2,58,63,42,30,9,6,6,9,146,3,6,7
Horacio Zeballos,1,0,1,52,44,48,29,8,7,1,6,109,6,4,2
Guido Pella,1,0,1,56,54,44,31,6,9,1,7,117,6,6,1
John Isner,1,1,3,73,42,27,11,16,3,6,7,87,6,6,6
Adrian Ungur,1,0,0,56,18,44,8,1,7,1,1,38,1,2,0
Albert Montanes,1,0,0,51,29,49,20,4,8,0,0,57,3,2,4
Collin Altamirano,1,0,0,58,27,42,8,3,3,0,0,50,1,3,1
Rogerio Dutra Silva,1,1,3,58,64,42,39,3,3,6,16,178,4,3,7
Benoit Paire,1,0,2,51,72,49,40,29,11,6,23,191,5,6,4
Tim Smyczek,1,1,3,66,47,34,21,4,2,7,17,134,3,6,6
Jurgen Zopp,1,0,2,51,46,49,27,5,9,6,10,116,1,6,6
Rajeev Ram,1,1,3,73,40,27,10,8,1,7,16,90,6,6,6
David Goffin,1,0,0,67,44,33,14,7,8,2,8,93,2,4,4
Nicolas Mahut,1,0,0,63,50,37,22,6,5,1,3,94,4,4,6
Jurgen Melzer,1,0,0,65,39,35,17,4,2,3,10,96,5,3,6
Igor Sijsling,1,0,1,55,49,45,24,13,3,4,9,107,6,6,4
Lleyton Hewitt,1,1,3,46,38,54,29,8,7,10,19,129,6,4,6
Guillermo Garcia-Lopez,1,0,1,48,57,52,45,13,3,1,4,133,3,7,4
Andy Murray,1,1,3,67,36,33,15,3,0,6,8,91,6,6,6
Victor Hanescu,1,0,1,67,72,33,29,5,1,3,13,156,6,4,6
Andreas Seppi,1,1,3,59,62,41,24,12,4,5,10,138,6,3,7
Lukas Lacko,1,0,2,50,48,50,29,11,6,5,12,133,6,1,2
Stanislas Wawrinka,1,1,3,51,32,49,27,7,2,6,13,103,7,6,6
James Blake,1,0,2,64,82,36,36,9,6,4,11,170,7,6,4
Marcos Baghdatis,1,1,3,60,34,40,20,16,3,5,10,89,6,6,6
Daniel Brands,1,0,1,59,58,41,20,10,6,1,6,113,5,6,2
Richard Gasquet,1,1,3,58,50,42,22,8,6,6,12,112,6,7,7
Guillaume Rufin,1,0,0,43,14,57,12,4,1,1,8,48,6,1,NA
Feliciano Lopez,1,1,3,52,59,48,38,23,10,4,9,141,6,7,4
Pablo Andujar,1,0,0,64,32,36,17,2,5,1,7,79,1,2,4
Maximo Gonzalez,1,0,1,68,51,32,17,3,4,4,10,104,6,6,5
Dudi Sela,1,0,0,62,30,38,10,1,7,2,13,74,4,4,1
Andreas Haider-Maurer,1,0,0,60,45,40,17,7,5,0,5,91,4,4,5
Roberto Bautista Agut,1,0,1,62,42,38,20,2,5,3,8,104,3,7,1
Roger Federer,1,1,3,52,27,48,22,6,2,7,13,94,6,6,6
Adrian Mannarino,1,1,3,55,68,45,41,13,3,2,6,157,7,7,6
Tommy Robredo,1,1,3,64,39,36,12,9,3,7,11,92,6,6,6
