Player 1,Gender,Result,FNL.1,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,ST1.1,ST2.1
S Williams,0,1,2,57,44,43,20,9,5,36,35,12,7,13,4,7,6
F Pennetta,0,0,0,44,12,56,7,1,3,19,23,6,5,20,12,4,2
S Williams,0,1,2,63,26,37,9,4,1,19,20,11,5,11,6,6,6
R Vinci,0,0,0,60,21,40,7,0,3,14,28,5,2,34,18,4,1
D Hantuchova,0,0,0,58,14,42,5,3,3,19,18,4,3,10,5,2,3
E Makarova,0,0,1,60,40,40,18,1,4,15,33,6,4,12,7,4,7
A Ivanovic,0,0,1,55,26,45,18,3,8,41,42,13,7,20,8,6,3
A Riske,0,0,1,69,37,31,14,3,1,17,20,2,2,24,12,3,7
S Halep,0,0,0,75,22,25,8,1,1,18,32,10,3,15,10,2,6
C Giorgi,0,0,0,54,18,46,11,2,7,20,35,1,1,16,7,4,2
S Williams,0,1,2,62,26,38,11,6,4,22,13,10,4,13,9,6,6
J Jankovic,0,0,0,66,8,34,3,0,4,7,22,3,2,6,3,3,0
C Suarez Navarro,0,1,2,78,54,22,9,2,1,45,47,19,7,21,14,4,6
A Ivanovic,0,1,2,60,41,40,18,7,5,45,51,11,6,32,18,4,7
C Wozniack,0,0,1,62,34,38,21,2,2,13,27,11,2,10,7,6,4
M Kirilenko,0,0,0,54,9,46,5,1,5,3,24,1,0,8,3,1,0
A Cornet,0,0,1,56,44,44,21,9,10,30,44,6,1,18,13,7,3
K Knapp,0,0,0,58,22,42,8,3,6,17,35,5,3,17,9,4,3
P Kvitova,0,0,0,52,18,48,10,4,7,20,27,0,0,13,8,3,0
S Kuznetsova,0,0,0,55,21,45,10,4,3,24,35,8,1,24,16,5,1
J Glushko,0,0,1,73,43,27,10,1,3,27,32,17,8,20,12,6,5
L Robson,0,0,0,52,16,48,16,0,5,7,30,2,1,5,3,2,5
J Hampton,0,0,0,55,14,45,6,0,1,12,34,7,2,17,11,1,3
S Williams,0,1,2,66,28,44,7,6,1,22,16,8,4,13,10,6,6
A.Radwanska,0,1,2,75,42,25,12,1,1,13,15,5,3,14,7,6,7
E Makarova,0,1,2,61,36,39,15,6,3,24,20,8,3,15,11,6,7
J Zheng,0,0,0,75,27,25,6,0,4,13,33,3,2,13,8,2,4
J Jankovic,0,1,2,52,31,48,12,3,5,20,23,9,6,28,14,6,7
K Kanepi,0,0,0,44,17,56,10,1,9,15,29,1,1,7,6,0,4
F Pennetta,0,1,2,58,24,42,11,7,0,33,19,7,6,21,13,6,6
S Williams,0,1,2,64,21,36,11,4,1,16,13,7,5,8,6,6,6
C Wozniacki,0,1,2,76,22,34,6,0,1,14,11,9,6,9,9,6,6
E Bouchard,0,0,1,47,27,53,27,2,7,41,43,14,6,38,26,4,6
A Wozniak,0,0,0,48,10,52,4,0,8,10,35,5,3,10,5,3,1
C McHale,0,1,2,66,52,34,21,7,5,34,57,10,3,13,6,6,3
A Ivanovic,0,1,2,64,39,36,12,2,4,18,21,6,4,6,5,6,6
P Ormaechea,0,0,0,41,9,59,15,0,4,2,16,6,1,7,1,2,3
A Cornet,0,1,2,56,28,44,12,4,6,19,19,11,6,15,9,6,6
D Hantuchova,0,1,2,46,14,54,18,2,2,10,18,12,5,5,5,6,6
K Nara,0,1,2,80,25,20,8,0,0,12,18,10,6,5,4,7,6
A Riske,0,1,2,62,26,38,11,0,1,18,12,12,4,15,11,6,6
S Kuznetsova,0,1,2,54,39,46,19,5,3,41,39,13,6,34,22,6,4
